GamePk,GameDate,AwayTeam,HomeTeam,RunsAway,RunsHome,AwayWinPct,HomeWinPct,AwayWinMargin3,AwayWinMargin2,AwayWinMargin1,HomeWinMargin3,HomeWinMargin2,HomeWinMargin1,RunsFirstInningPct,RunsFirst5Away,RunsFirst5Home,AwayWinFirst5,HomeWinFirst5,Runs0,Runs1,Runs2,Runs3,Runs4,Runs5,Runs6,Runs7,Runs8,Runs9,Runs10,Runs11,Runs12,Runs13,Runs14,Runs15,Runs16,Runs17,Runs18,Runs19,Runs20
822998,2026-04-12,NYY,TB ,4.505,3.546,0.582,0.418,0.319,0.122,0.141,0.163,0.082,0.173,0.444,2.276,1.761,0.486,0.327,0.0,0.024,0.025,0.067,0.068,0.12,0.084,0.114,0.081,0.102,0.058,0.072,0.049,0.04,0.026,0.022,0.014,0.012,0.007,0.004,0.011
823075,2026-04-12,BOS,STL,4.705,4.383,0.533,0.467,0.294,0.113,0.126,0.233,0.086,0.148,0.507,2.665,2.712,0.429,0.428,0.0,0.015,0.02,0.05,0.043,0.097,0.073,0.096,0.078,0.109,0.065,0.09,0.057,0.06,0.033,0.035,0.023,0.022,0.01,0.007,0.017
823317,2026-04-12,COL,SD ,2.892,4.62,0.289,0.711,0.113,0.072,0.103,0.378,0.137,0.196,0.447,1.447,2.537,0.26,0.565,0.0,0.034,0.038,0.081,0.077,0.127,0.088,0.117,0.077,0.097,0.052,0.057,0.035,0.041,0.026,0.016,0.012,0.011,0.004,0.003,0.008
823642,2026-04-12,ATH,NYM,3.23,3.59,0.426,0.574,0.184,0.107,0.135,0.245,0.121,0.207,0.404,1.647,1.977,0.354,0.451,0.0,0.042,0.043,0.11,0.085,0.139,0.095,0.123,0.07,0.081,0.054,0.055,0.027,0.027,0.014,0.014,0.006,0.002,0.003,0.002,0.006
824126,2026-04-12,CHW,KC ,4.254,5.326,0.373,0.627,0.174,0.085,0.113,0.338,0.107,0.182,0.495,2.404,3.025,0.366,0.491,0.0,0.011,0.01,0.044,0.036,0.077,0.062,0.116,0.078,0.114,0.069,0.09,0.059,0.063,0.034,0.041,0.022,0.024,0.013,0.013,0.024
824293,2026-04-12,MIA,DET,3.227,3.586,0.433,0.567,0.194,0.1,0.14,0.239,0.125,0.203,0.388,1.524,1.909,0.344,0.454,0.0,0.049,0.039,0.11,0.09,0.126,0.095,0.124,0.081,0.082,0.05,0.047,0.025,0.028,0.016,0.011,0.011,0.006,0.003,0.003,0.004
824696,2026-04-12,PIT,CHC,5.675,5.776,0.484,0.516,0.277,0.095,0.112,0.277,0.093,0.147,0.541,2.948,3.095,0.439,0.433,0.0,0.005,0.005,0.016,0.023,0.053,0.055,0.082,0.062,0.088,0.069,0.088,0.069,0.073,0.051,0.063,0.041,0.042,0.024,0.026,0.065
824938,2026-04-12,CLE,ATL,3.666,4.101,0.43,0.57,0.21,0.095,0.125,0.273,0.113,0.184,0.461,1.968,2.361,0.363,0.475,0.0,0.029,0.028,0.076,0.066,0.108,0.088,0.137,0.087,0.095,0.068,0.067,0.038,0.036,0.018,0.019,0.015,0.011,0.006,0.005,0.005
822828,2026-04-12,MIN,TOR,4.793,4.147,0.541,0.459,0.303,0.104,0.135,0.188,0.096,0.175,0.502,2.884,2.277,0.507,0.344,0.0,0.013,0.017,0.05,0.039,0.096,0.075,0.124,0.085,0.108,0.065,0.086,0.055,0.052,0.035,0.031,0.021,0.014,0.01,0.009,0.014
823154,2026-04-12,HOU,SEA,3.941,4.426,0.426,0.574,0.21,0.089,0.127,0.279,0.11,0.186,0.471,2.023,2.513,0.353,0.482,0.0,0.023,0.017,0.065,0.056,0.107,0.079,0.117,0.087,0.109,0.062,0.079,0.042,0.05,0.027,0.024,0.017,0.014,0.007,0.008,0.01
823479,2026-04-12,ARI,PHI,4.257,4.543,0.436,0.564,0.25,0.079,0.106,0.267,0.113,0.184,0.481,2.339,2.536,0.401,0.452,0.0,0.015,0.019,0.064,0.053,0.1,0.07,0.109,0.08,0.105,0.07,0.075,0.053,0.049,0.031,0.031,0.021,0.018,0.01,0.006,0.019
823804,2026-04-12,WAS,MIL,3.665,4.711,0.353,0.647,0.187,0.065,0.101,0.339,0.12,0.189,0.468,1.918,2.551,0.333,0.496,0.0,0.016,0.024,0.063,0.053,0.107,0.08,0.129,0.084,0.106,0.067,0.077,0.043,0.049,0.022,0.026,0.013,0.014,0.005,0.007,0.015
823966,2026-04-12,TEX,LAD,4.783,3.687,0.579,0.421,0.33,0.118,0.131,0.158,0.081,0.182,0.498,2.799,1.852,0.541,0.293,0.0,0.016,0.019,0.067,0.055,0.102,0.08,0.127,0.077,0.109,0.061,0.071,0.048,0.053,0.03,0.03,0.015,0.013,0.009,0.005,0.012
824533,2026-04-12,LAA,CIN,3.95,4.212,0.456,0.544,0.22,0.098,0.138,0.242,0.099,0.203,0.447,2.002,2.257,0.385,0.445,0.0,0.019,0.028,0.078,0.062,0.119,0.075,0.127,0.064,0.105,0.063,0.067,0.037,0.043,0.025,0.028,0.018,0.02,0.008,0.005,0.01
824859,2026-04-12,SF ,BAL,4.294,4.276,0.481,0.519,0.255,0.097,0.129,0.245,0.1,0.174,0.494,2.449,2.38,0.434,0.411,0.001,0.018,0.021,0.061,0.052,0.104,0.077,0.12,0.085,0.099,0.064,0.079,0.045,0.05,0.031,0.036,0.015,0.013,0.009,0.011,0.012
