player_name,team,bats,throws
Cade Povich,BAL,,L
Adrian Houser,SF,,R
Andrew Painter,PHI,,R
Zac Gallen,AZ,,R
Max Scherzer,TOR,,R
Taj Bradley,MIN,,R
Andrew Abbott,CIN,,L
José Soriano,LAA,,R
Freddy Peralta,NYM,,R
Aaron Civale,ATH,,R
Tarik Skubal,DET,,L
Sandy Alcantara,MIA,,R
Drew Rasmussen,TB,,R
Cam Schlittler,NYY,,R
Noah Cameron,KC,,L
Grant Taylor,CWS,,R
Brandon Woodruff,MIL,,R
Zack Littell,WSH,,R
Andre Pallante,STL,,R
Brayan Bello,BOS,,R
Jameson Taillon,CHC,,R
Bubba Chandler,PIT,,R
Nick Pivetta,SD,,R
Kyle Freeland,COL,,L
Logan Gilbert,SEA,,R
Roki Sasaki,LAD,,R
Jacob deGrom,TEX,,R
Chris Sale,ATL,,L
Tanner Bibee,CLE,,R
